TOP.5fa21a5f.00008b1c	START
TOP.5fa2b6af.0009988b	user_options->outfile_format	3
TOP.5fa2b6af.0009988b	user_options->wordlist_autohex_disable	0
TOP.5fa2b6af.0009988b	user_options->potfile_disable	0
TOP.5fa2b6af.0009988b	user_options->progress_only	0
TOP.5fa2b6af.0009988b	user_options->quiet	0
TOP.5fa2b6af.0009988b	user_options->remove	0
TOP.5fa2b6af.0009988b	user_options->remove_timer	60
TOP.5fa2b6af.0009988b	user_options->restore	0
TOP.5fa2b6af.0009988b	user_options->restore_disable	0
TOP.5fa2b6af.0009988b	user_options->restore_timer	60
TOP.5fa2b6af.0009988b	user_options->rp_files_cnt	0
TOP.5fa2b6af.0009988b	user_options->rp_gen	0
TOP.5fa2b6af.0009988b	user_options->rp_gen_func_max	4
TOP.5fa2b6af.0009988b	user_options->rp_gen_func_min	1
TOP.5fa2b6af.0009988b	user_options->rp_gen_seed	0
TOP.5fa2b6af.0009988b	user_options->runtime	0
TOP.5fa2b6af.0009988b	user_options->scrypt_tmto	0
TOP.5fa2b6af.0009988b	user_options->segment_size	33554432
TOP.5fa2b6af.0009988b	user_options->self_test_disable	0
TOP.5fa2b6af.0009988b	user_options->slow_candidates	0
TOP.5fa2b6af.0009988b	user_options->show	0
TOP.5fa2b6af.0009988b	user_options->speed_only	0
TOP.5fa2b6af.0009988b	user_options->spin_damp	0
TOP.5fa2b6af.0009988b	user_options->status	0
TOP.5fa2b6af.0009988b	user_options->status_json	0
TOP.5fa2b6af.0009988b	user_options->status_timer	10
TOP.5fa2b6af.0009988b	user_options->stdout_flag	0
TOP.5fa2b6af.0009988b	user_options->usage	0
TOP.5fa2b6af.0009988b	user_options->username	0
TOP.5fa2b6af.0009988b	user_options->veracrypt_pim_start	485
TOP.5fa2b6af.0009988b	user_options->veracrypt_pim_stop	485
TOP.5fa2b6af.0009988b	user_options->version	0
TOP.5fa2b6af.0009988b	user_options->workload_profile	2
TOP.5fa2b6af.0009988b	user_options->brain_client	0
TOP.5fa2b6af.0009988b	user_options->brain_client_features	2
TOP.5fa2b6af.0009988b	user_options->brain_server	0
TOP.5fa2b6af.0009988b	user_options->brain_server_timer	300
TOP.5fa2b6af.0009988b	user_options->brain_port	6863
TOP.5fa2b6af.0009988b	user_options->brain_session	0
TOP.5fa2b6af.0009988b	proc_start	1604499119
TOP.5fa2b6af.0009988b	proc_stop	1604499122
TOP.5fa2b6af.0009988b	STOP
TOP.5fa2b6bb.000e20fc	START
TOP.5fa2b6bb.000e20fc	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2b6bb.000e20fc	folder_config->install_dir	.
TOP.5fa2b6bb.000e20fc	folder_config->profile_dir	.
TOP.5fa2b6bb.000e20fc	folder_config->session_dir	.
TOP.5fa2b6bb.000e20fc	folder_config->shared_dir	.
TOP.5fa2b6bb.000e20fc	user_options->separator	:
TOP.5fa2b6bb.000e20fc	user_options->encoding_from	utf-8
TOP.5fa2b6bb.000e20fc	user_options->encoding_to	utf-8
TOP.5fa2b6bb.000e20fc	user_options->outfile	..\algo.txt
TOP.5fa2b6bb.000e20fc	user_options->rule_buf_l	:
TOP.5fa2b6bb.000e20fc	user_options->rule_buf_r	:
TOP.5fa2b6bb.000e20fc	user_options->session	hashcat
TOP.5fa2b6bb.000e20fc	user_options->limit	0
TOP.5fa2b6bb.000e20fc	user_options->skip	0
TOP.5fa2b6bb.000e20fc	user_options->attack_mode	0
TOP.5fa2b6bb.000e20fc	user_options->benchmark	0
TOP.5fa2b6bb.000e20fc	user_options->benchmark_all	0
TOP.5fa2b6bb.000e20fc	user_options->bitmap_max	18
TOP.5fa2b6bb.000e20fc	user_options->bitmap_min	16
TOP.5fa2b6bb.000e20fc	user_options->debug_mode	0
TOP.5fa2b6bb.000e20fc	user_options->example_hashes	0
TOP.5fa2b6bb.000e20fc	user_options->force	0
TOP.5fa2b6bb.000e20fc	user_options->hwmon_disable	0
TOP.5fa2b6bb.000e20fc	user_options->hwmon_temp_abort	90
TOP.5fa2b6bb.000e20fc	user_options->hash_mode	0
TOP.5fa2b6bb.000e20fc	user_options->hex_charset	0
TOP.5fa2b6bb.000e20fc	user_options->hex_salt	0
TOP.5fa2b6bb.000e20fc	user_options->hex_wordlist	0
TOP.5fa2b6bb.000e20fc	user_options->hook_threads	8
TOP.5fa2b6bb.000e20fc	user_options->increment	0
TOP.5fa2b6bb.000e20fc	user_options->increment_max	256
TOP.5fa2b6bb.000e20fc	user_options->increment_min	1
TOP.5fa2b6bb.000e20fc	user_options->keep_guessing	0
TOP.5fa2b6bb.000e20fc	user_options->kernel_accel	0
TOP.5fa2b6bb.000e20fc	user_options->kernel_loops	0
TOP.5fa2b6bb.000e20fc	user_options->kernel_threads	0
TOP.5fa2b6bb.000e20fc	user_options->keyspace	0
TOP.5fa2b6bb.000e20fc	user_options->left	0
TOP.5fa2b6bb.000e20fc	user_options->logfile_disable	0
TOP.5fa2b6bb.000e20fc	user_options->loopback	0
TOP.5fa2b6bb.000e20fc	user_options->machine_readable	0
TOP.5fa2b6bb.000e20fc	user_options->markov_classic	0
TOP.5fa2b6bb.000e20fc	user_options->markov_disable	0
TOP.5fa2b6bb.000e20fc	user_options->markov_threshold	256
TOP.5fa2b6bb.000e20fc	user_options->backend_info	0
TOP.5fa2b6bb.000e20fc	user_options->backend_vector_width	0
TOP.5fa2b6bb.000e20fc	user_options->optimized_kernel_enable	0
TOP.5fa2b6bb.000e20fc	user_options->outfile_autohex	1
TOP.5fa2b6bb.000e20fc	user_options->outfile_check_timer	5
TOP.5fa2b6bb.000e20fc	user_options->outfile_format	3
TOP.5fa2b6bb.000e20fc	user_options->wordlist_autohex_disable	0
TOP.5fa2b6bb.000e20fc	user_options->potfile_disable	0
TOP.5fa2b6bb.000e20fc	user_options->progress_only	0
TOP.5fa2b6bb.000e20fc	user_options->quiet	0
TOP.5fa2b6bb.000e20fc	user_options->remove	0
TOP.5fa2b6bb.000e20fc	user_options->remove_timer	60
TOP.5fa2b6bb.000e20fc	user_options->restore	0
TOP.5fa2b6bb.000e20fc	user_options->restore_disable	0
TOP.5fa2b6bb.000e20fc	user_options->restore_timer	60
TOP.5fa2b6bb.000e20fc	user_options->rp_files_cnt	0
TOP.5fa2b6bb.000e20fc	user_options->rp_gen	0
TOP.5fa2b6bb.000e20fc	user_options->rp_gen_func_max	4
TOP.5fa2b6bb.000e20fc	user_options->rp_gen_func_min	1
TOP.5fa2b6bb.000e20fc	user_options->rp_gen_seed	0
TOP.5fa2b6bb.000e20fc	user_options->runtime	0
TOP.5fa2b6bb.000e20fc	user_options->scrypt_tmto	0
TOP.5fa2b6bb.000e20fc	user_options->segment_size	33554432
TOP.5fa2b6bb.000e20fc	user_options->self_test_disable	0
TOP.5fa2b6bb.000e20fc	user_options->slow_candidates	0
TOP.5fa2b6bb.000e20fc	user_options->show	0
TOP.5fa2b6bb.000e20fc	user_options->speed_only	0
TOP.5fa2b6bb.000e20fc	user_options->spin_damp	0
TOP.5fa2b6bb.000e20fc	user_options->status	0
TOP.5fa2b6bb.000e20fc	user_options->status_json	0
TOP.5fa2b6bb.000e20fc	user_options->status_timer	10
TOP.5fa2b6bb.000e20fc	user_options->stdout_flag	0
TOP.5fa2b6bb.000e20fc	user_options->usage	0
TOP.5fa2b6bb.000e20fc	user_options->username	0
TOP.5fa2b6bb.000e20fc	user_options->veracrypt_pim_start	485
TOP.5fa2b6bb.000e20fc	user_options->veracrypt_pim_stop	485
TOP.5fa2b6bb.000e20fc	user_options->version	0
TOP.5fa2b6bb.000e20fc	user_options->workload_profile	2
TOP.5fa2b6bb.000e20fc	user_options->brain_client	0
TOP.5fa2b6bb.000e20fc	user_options->brain_client_features	2
TOP.5fa2b6bb.000e20fc	user_options->brain_server	0
TOP.5fa2b6bb.000e20fc	user_options->brain_server_timer	300
TOP.5fa2b6bb.000e20fc	user_options->brain_port	6863
TOP.5fa2b6bb.000e20fc	user_options->brain_session	0
TOP.5fa2b6bb.000e20fc	proc_start	1604499131
TOP.5fa2b6bb.000e20fc	proc_stop	1604499132
TOP.5fa2b6bb.000e20fc	STOP
TOP.5fa2b6c4.00093885	START
TOP.5fa2b6c4.00093885	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2b6c4.00093885	folder_config->install_dir	.
TOP.5fa2b6c4.00093885	folder_config->profile_dir	.
TOP.5fa2b6c4.00093885	folder_config->session_dir	.
TOP.5fa2b6c4.00093885	folder_config->shared_dir	.
TOP.5fa2b6c4.00093885	user_options->separator	:
TOP.5fa2b6c4.00093885	user_options->encoding_from	utf-8
TOP.5fa2b6c4.00093885	user_options->encoding_to	utf-8
TOP.5fa2b6c4.00093885	user_options->outfile	..\algo.txt
TOP.5fa2b6c4.00093885	user_options->rule_buf_l	:
TOP.5fa2b6c4.00093885	user_options->rule_buf_r	:
TOP.5fa2b6c4.00093885	user_options->session	hashcat
TOP.5fa2b6c4.00093885	user_options->limit	0
TOP.5fa2b6c4.00093885	user_options->skip	0
TOP.5fa2b6c4.00093885	user_options->attack_mode	0
TOP.5fa2b6c4.00093885	user_options->benchmark	0
TOP.5fa2b6c4.00093885	user_options->benchmark_all	0
TOP.5fa2b6c4.00093885	user_options->bitmap_max	18
TOP.5fa2b6c4.00093885	user_options->bitmap_min	16
TOP.5fa2b6c4.00093885	user_options->debug_mode	0
TOP.5fa2b6c4.00093885	user_options->example_hashes	0
TOP.5fa2b6c4.00093885	user_options->force	0
TOP.5fa2b6c4.00093885	user_options->hwmon_disable	0
TOP.5fa2b6c4.00093885	user_options->hwmon_temp_abort	90
TOP.5fa2b6c4.00093885	user_options->hash_mode	0
TOP.5fa2b6c4.00093885	user_options->hex_charset	0
TOP.5fa2b6c4.00093885	user_options->hex_salt	0
TOP.5fa2b6c4.00093885	user_options->hex_wordlist	0
TOP.5fa2b6c4.00093885	user_options->hook_threads	8
TOP.5fa2b6c4.00093885	user_options->increment	0
TOP.5fa2b6c4.00093885	user_options->increment_max	256
TOP.5fa2b6c4.00093885	user_options->increment_min	1
TOP.5fa2b6c4.00093885	user_options->keep_guessing	0
TOP.5fa2b6c4.00093885	user_options->kernel_accel	0
TOP.5fa2b6c4.00093885	user_options->kernel_loops	0
TOP.5fa2b6c4.00093885	user_options->kernel_threads	0
TOP.5fa2b6c4.00093885	user_options->keyspace	0
TOP.5fa2b6c4.00093885	user_options->left	0
TOP.5fa2b6c4.00093885	user_options->logfile_disable	0
TOP.5fa2b6c4.00093885	user_options->loopback	0
TOP.5fa2b6c4.00093885	user_options->machine_readable	0
TOP.5fa2b6c4.00093885	user_options->markov_classic	0
TOP.5fa2b6c4.00093885	user_options->markov_disable	0
TOP.5fa2b6c4.00093885	user_options->markov_threshold	256
TOP.5fa2b6c4.00093885	user_options->backend_info	0
TOP.5fa2b6c4.00093885	user_options->backend_vector_width	0
TOP.5fa2b6c4.00093885	user_options->optimized_kernel_enable	0
TOP.5fa2b6c4.00093885	user_options->outfile_autohex	1
TOP.5fa2b6c4.00093885	user_options->outfile_check_timer	5
TOP.5fa2b6c4.00093885	user_options->outfile_format	3
TOP.5fa2b6c4.00093885	user_options->wordlist_autohex_disable	0
TOP.5fa2b6c4.00093885	user_options->potfile_disable	0
TOP.5fa2b6c4.00093885	user_options->progress_only	0
TOP.5fa2b6c4.00093885	user_options->quiet	0
TOP.5fa2b6c4.00093885	user_options->remove	0
TOP.5fa2b6c4.00093885	user_options->remove_timer	60
TOP.5fa2b6c4.00093885	user_options->restore	0
TOP.5fa2b6c4.00093885	user_options->restore_disable	0
TOP.5fa2b6c4.00093885	user_options->restore_timer	60
TOP.5fa2b6c4.00093885	user_options->rp_files_cnt	0
TOP.5fa2b6c4.00093885	user_options->rp_gen	0
TOP.5fa2b6c4.00093885	user_options->rp_gen_func_max	4
TOP.5fa2b6c4.00093885	user_options->rp_gen_func_min	1
TOP.5fa2b6c4.00093885	user_options->rp_gen_seed	0
TOP.5fa2b6c4.00093885	user_options->runtime	0
TOP.5fa2b6c4.00093885	user_options->scrypt_tmto	0
TOP.5fa2b6c4.00093885	user_options->segment_size	33554432
TOP.5fa2b6c4.00093885	user_options->self_test_disable	0
TOP.5fa2b6c4.00093885	user_options->slow_candidates	0
TOP.5fa2b6c4.00093885	user_options->show	0
TOP.5fa2b6c4.00093885	user_options->speed_only	0
TOP.5fa2b6c4.00093885	user_options->spin_damp	0
TOP.5fa2b6c4.00093885	user_options->status	0
TOP.5fa2b6c4.00093885	user_options->status_json	0
TOP.5fa2b6c4.00093885	user_options->status_timer	10
TOP.5fa2b6c4.00093885	user_options->stdout_flag	0
TOP.5fa2b6c4.00093885	user_options->usage	0
TOP.5fa2b6c4.00093885	user_options->username	0
TOP.5fa2b6c4.00093885	user_options->veracrypt_pim_start	485
TOP.5fa2b6c4.00093885	user_options->veracrypt_pim_stop	485
TOP.5fa2b6c4.00093885	user_options->version	0
TOP.5fa2b6c4.00093885	user_options->workload_profile	2
TOP.5fa2b6c4.00093885	user_options->brain_client	0
TOP.5fa2b6c4.00093885	user_options->brain_client_features	2
TOP.5fa2b6c4.00093885	user_options->brain_server	0
TOP.5fa2b6c4.00093885	user_options->brain_server_timer	300
TOP.5fa2b6c4.00093885	user_options->brain_port	6863
TOP.5fa2b6c4.00093885	user_options->brain_session	0
TOP.5fa2b6c4.00093885	proc_start	1604499140
TOP.5fa2b6c4.00093885	proc_stop	1604499143
TOP.5fa2b6c4.00093885	STOP
TOP.5fa2b715.00061398	START
TOP.5fa2b715.00061398	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2b715.00061398	folder_config->install_dir	.
TOP.5fa2b715.00061398	folder_config->profile_dir	.
TOP.5fa2b715.00061398	folder_config->session_dir	.
TOP.5fa2b715.00061398	folder_config->shared_dir	.
TOP.5fa2b715.00061398	user_options->separator	:
TOP.5fa2b715.00061398	user_options->encoding_from	utf-8
TOP.5fa2b715.00061398	user_options->encoding_to	utf-8
TOP.5fa2b715.00061398	user_options->outfile	..\algo.txt
TOP.5fa2b715.00061398	user_options->rule_buf_l	:
TOP.5fa2b715.00061398	user_options->rule_buf_r	:
TOP.5fa2b715.00061398	user_options->session	hashcat
TOP.5fa2b715.00061398	user_options->limit	0
TOP.5fa2b715.00061398	user_options->skip	0
TOP.5fa2b715.00061398	user_options->attack_mode	0
TOP.5fa2b715.00061398	user_options->benchmark	0
TOP.5fa2b715.00061398	user_options->benchmark_all	0
TOP.5fa2b715.00061398	user_options->bitmap_max	18
TOP.5fa2b715.00061398	user_options->bitmap_min	16
TOP.5fa2b715.00061398	user_options->debug_mode	0
TOP.5fa2b715.00061398	user_options->example_hashes	0
TOP.5fa2b715.00061398	user_options->force	0
TOP.5fa2b715.00061398	user_options->hwmon_disable	0
TOP.5fa2b715.00061398	user_options->hwmon_temp_abort	90
TOP.5fa2b715.00061398	user_options->hash_mode	0
TOP.5fa2b715.00061398	user_options->hex_charset	0
TOP.5fa2b715.00061398	user_options->hex_salt	0
TOP.5fa2b715.00061398	user_options->hex_wordlist	0
TOP.5fa2b715.00061398	user_options->hook_threads	8
TOP.5fa2b715.00061398	user_options->increment	0
TOP.5fa2b715.00061398	user_options->increment_max	256
TOP.5fa2b715.00061398	user_options->increment_min	1
TOP.5fa2b715.00061398	user_options->keep_guessing	0
TOP.5fa2b715.00061398	user_options->kernel_accel	0
TOP.5fa2b715.00061398	user_options->kernel_loops	0
TOP.5fa2b715.00061398	user_options->kernel_threads	0
TOP.5fa2b715.00061398	user_options->keyspace	0
TOP.5fa2b715.00061398	user_options->left	0
TOP.5fa2b715.00061398	user_options->logfile_disable	0
TOP.5fa2b715.00061398	user_options->loopback	0
TOP.5fa2b715.00061398	user_options->machine_readable	0
TOP.5fa2b715.00061398	user_options->markov_classic	0
TOP.5fa2b715.00061398	user_options->markov_disable	0
TOP.5fa2b715.00061398	user_options->markov_threshold	256
TOP.5fa2b715.00061398	user_options->backend_info	0
TOP.5fa2b715.00061398	user_options->backend_vector_width	0
TOP.5fa2b715.00061398	user_options->optimized_kernel_enable	0
TOP.5fa2b715.00061398	user_options->outfile_autohex	1
TOP.5fa2b715.00061398	user_options->outfile_check_timer	5
TOP.5fa2b715.00061398	user_options->outfile_format	3
TOP.5fa2b715.00061398	user_options->wordlist_autohex_disable	0
TOP.5fa2b715.00061398	user_options->potfile_disable	0
TOP.5fa2b715.00061398	user_options->progress_only	0
TOP.5fa2b715.00061398	user_options->quiet	0
TOP.5fa2b715.00061398	user_options->remove	0
TOP.5fa2b715.00061398	user_options->remove_timer	60
TOP.5fa2b715.00061398	user_options->restore	0
TOP.5fa2b715.00061398	user_options->restore_disable	0
TOP.5fa2b715.00061398	user_options->restore_timer	60
TOP.5fa2b715.00061398	user_options->rp_files_cnt	0
TOP.5fa2b715.00061398	user_options->rp_gen	0
TOP.5fa2b715.00061398	user_options->rp_gen_func_max	4
TOP.5fa2b715.00061398	user_options->rp_gen_func_min	1
TOP.5fa2b715.00061398	user_options->rp_gen_seed	0
TOP.5fa2b715.00061398	user_options->runtime	0
TOP.5fa2b715.00061398	user_options->scrypt_tmto	0
TOP.5fa2b715.00061398	user_options->segment_size	33554432
TOP.5fa2b715.00061398	user_options->self_test_disable	0
TOP.5fa2b715.00061398	user_options->slow_candidates	0
TOP.5fa2b715.00061398	user_options->show	0
TOP.5fa2b715.00061398	user_options->speed_only	0
TOP.5fa2b715.00061398	user_options->spin_damp	0
TOP.5fa2b715.00061398	user_options->status	0
TOP.5fa2b715.00061398	user_options->status_json	0
TOP.5fa2b715.00061398	user_options->status_timer	10
TOP.5fa2b715.00061398	user_options->stdout_flag	0
TOP.5fa2b715.00061398	user_options->usage	0
TOP.5fa2b715.00061398	user_options->username	0
TOP.5fa2b715.00061398	user_options->veracrypt_pim_start	485
TOP.5fa2b715.00061398	user_options->veracrypt_pim_stop	485
TOP.5fa2b715.00061398	user_options->version	0
TOP.5fa2b715.00061398	user_options->workload_profile	2
TOP.5fa2b715.00061398	user_options->brain_client	0
TOP.5fa2b715.00061398	user_options->brain_client_features	2
TOP.5fa2b715.00061398	user_options->brain_server	0
TOP.5fa2b715.00061398	user_options->brain_server_timer	300
TOP.5fa2b715.00061398	user_options->brain_port	6863
TOP.5fa2b715.00061398	user_options->brain_session	0
TOP.5fa2b715.00061398	hashes->hashfile	..\hashlist\archivo_4
TOP.5fa2b715.00061398	hashes->hashlist_mode	5
TOP.5fa2b715.00061398	hashes->hashlist_format	0
TOP.5fa2b715.00061398	hashes->hashes_cnt	0
TOP.5fa2b715.00061398	hashes->digests_cnt	1000
TOP.5fa2b715.00061398	hashes->digests_done	0
TOP.5fa2b715.00061398	hashes->salts_cnt	1
TOP.5fa2b715.00061398	hashes->salts_done	0
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	START
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	straight_ctx->dict	..\diccionarios\diccionario_2.dict
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	runtime_start	1604499221
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	runtime_stop	1604499221
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	status-after-work	5
TOP.5fa2b715.00061398	SUB.5fa2b715.00092a60	STOP
TOP.5fa2b715.00061398	proc_start	1604499221
TOP.5fa2b715.00061398	proc_stop	1604499223
TOP.5fa2b715.00061398	STOP
TOP.5fa2b723.00098fc8	START
TOP.5fa2b723.00098fc8	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2b723.00098fc8	folder_config->install_dir	.
TOP.5fa2b723.00098fc8	folder_config->profile_dir	.
TOP.5fa2b723.00098fc8	folder_config->session_dir	.
TOP.5fa2b723.00098fc8	folder_config->shared_dir	.
TOP.5fa2b723.00098fc8	user_options->separator	:
TOP.5fa2b723.00098fc8	user_options->encoding_from	utf-8
TOP.5fa2b723.00098fc8	user_options->encoding_to	utf-8
TOP.5fa2b723.00098fc8	user_options->outfile	..\algo.txt
TOP.5fa2b723.00098fc8	user_options->rule_buf_l	:
TOP.5fa2b723.00098fc8	user_options->rule_buf_r	:
TOP.5fa2b723.00098fc8	user_options->session	hashcat
TOP.5fa2b723.00098fc8	user_options->limit	0
TOP.5fa2b723.00098fc8	user_options->skip	0
TOP.5fa2b723.00098fc8	user_options->attack_mode	0
TOP.5fa2b723.00098fc8	user_options->benchmark	0
TOP.5fa2b723.00098fc8	user_options->benchmark_all	0
TOP.5fa2b723.00098fc8	user_options->bitmap_max	18
TOP.5fa2b723.00098fc8	user_options->bitmap_min	16
TOP.5fa2b723.00098fc8	user_options->debug_mode	0
TOP.5fa2b723.00098fc8	user_options->example_hashes	0
TOP.5fa2b723.00098fc8	user_options->force	0
TOP.5fa2b723.00098fc8	user_options->hwmon_disable	0
TOP.5fa2b723.00098fc8	user_options->hwmon_temp_abort	90
TOP.5fa2b723.00098fc8	user_options->hash_mode	0
TOP.5fa2b723.00098fc8	user_options->hex_charset	0
TOP.5fa2b723.00098fc8	user_options->hex_salt	0
TOP.5fa2b723.00098fc8	user_options->hex_wordlist	0
TOP.5fa2b723.00098fc8	user_options->hook_threads	8
TOP.5fa2b723.00098fc8	user_options->increment	0
TOP.5fa2b723.00098fc8	user_options->increment_max	256
TOP.5fa2b723.00098fc8	user_options->increment_min	1
TOP.5fa2b723.00098fc8	user_options->keep_guessing	0
TOP.5fa2b723.00098fc8	user_options->kernel_accel	0
TOP.5fa2b723.00098fc8	user_options->kernel_loops	0
TOP.5fa2b723.00098fc8	user_options->kernel_threads	0
TOP.5fa2b723.00098fc8	user_options->keyspace	0
TOP.5fa2b723.00098fc8	user_options->left	0
TOP.5fa2b723.00098fc8	user_options->logfile_disable	0
TOP.5fa2b723.00098fc8	user_options->loopback	0
TOP.5fa2b723.00098fc8	user_options->machine_readable	0
TOP.5fa2b723.00098fc8	user_options->markov_classic	0
TOP.5fa2b723.00098fc8	user_options->markov_disable	0
TOP.5fa2b723.00098fc8	user_options->markov_threshold	256
TOP.5fa2b723.00098fc8	user_options->backend_info	0
TOP.5fa2b723.00098fc8	user_options->backend_vector_width	0
TOP.5fa2b723.00098fc8	user_options->optimized_kernel_enable	0
TOP.5fa2b723.00098fc8	user_options->outfile_autohex	1
TOP.5fa2b723.00098fc8	user_options->outfile_check_timer	5
TOP.5fa2b723.00098fc8	user_options->outfile_format	3
TOP.5fa2b723.00098fc8	user_options->wordlist_autohex_disable	0
TOP.5fa2b723.00098fc8	user_options->potfile_disable	0
TOP.5fa2b723.00098fc8	user_options->progress_only	0
TOP.5fa2b723.00098fc8	user_options->quiet	0
TOP.5fa2b723.00098fc8	user_options->remove	0
TOP.5fa2b723.00098fc8	user_options->remove_timer	60
TOP.5fa2b723.00098fc8	user_options->restore	0
TOP.5fa2b723.00098fc8	user_options->restore_disable	0
TOP.5fa2b723.00098fc8	user_options->restore_timer	60
TOP.5fa2b723.00098fc8	user_options->rp_files_cnt	0
TOP.5fa2b723.00098fc8	user_options->rp_gen	0
TOP.5fa2b723.00098fc8	user_options->rp_gen_func_max	4
TOP.5fa2b723.00098fc8	user_options->rp_gen_func_min	1
TOP.5fa2b723.00098fc8	user_options->rp_gen_seed	0
TOP.5fa2b723.00098fc8	user_options->runtime	0
TOP.5fa2b723.00098fc8	user_options->scrypt_tmto	0
TOP.5fa2b723.00098fc8	user_options->segment_size	33554432
TOP.5fa2b723.00098fc8	user_options->self_test_disable	0
TOP.5fa2b723.00098fc8	user_options->slow_candidates	0
TOP.5fa2b723.00098fc8	user_options->show	0
TOP.5fa2b723.00098fc8	user_options->speed_only	0
TOP.5fa2b723.00098fc8	user_options->spin_damp	0
TOP.5fa2b723.00098fc8	user_options->status	0
TOP.5fa2b723.00098fc8	user_options->status_json	0
TOP.5fa2b723.00098fc8	user_options->status_timer	10
TOP.5fa2b723.00098fc8	user_options->stdout_flag	0
TOP.5fa2b723.00098fc8	user_options->usage	0
TOP.5fa2b723.00098fc8	user_options->username	0
TOP.5fa2b723.00098fc8	user_options->veracrypt_pim_start	485
TOP.5fa2b723.00098fc8	user_options->veracrypt_pim_stop	485
TOP.5fa2b723.00098fc8	user_options->version	0
TOP.5fa2b723.00098fc8	user_options->workload_profile	2
TOP.5fa2b723.00098fc8	user_options->brain_client	0
TOP.5fa2b723.00098fc8	user_options->brain_client_features	2
TOP.5fa2b723.00098fc8	user_options->brain_server	0
TOP.5fa2b723.00098fc8	user_options->brain_server_timer	300
TOP.5fa2b723.00098fc8	user_options->brain_port	6863
TOP.5fa2b723.00098fc8	user_options->brain_session	0
TOP.5fa2b723.00098fc8	hashes->hashfile	..\hashlist\archivo_4
TOP.5fa2b723.00098fc8	hashes->hashlist_mode	5
TOP.5fa2b723.00098fc8	hashes->hashlist_format	0
TOP.5fa2b723.00098fc8	hashes->hashes_cnt	0
TOP.5fa2b723.00098fc8	hashes->digests_cnt	1000
TOP.5fa2b723.00098fc8	hashes->digests_done	0
TOP.5fa2b723.00098fc8	hashes->salts_cnt	1
TOP.5fa2b723.00098fc8	hashes->salts_done	0
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	START
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	straight_ctx->dict	..\diccionarios\diccionario_2.dict
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	runtime_start	1604499235
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	runtime_stop	1604499236
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	status-after-work	5
TOP.5fa2b723.00098fc8	SUB.5fa2b723.000d2309	STOP
TOP.5fa2b723.00098fc8	proc_start	1604499235
TOP.5fa2b723.00098fc8	proc_stop	1604499237
TOP.5fa2b723.00098fc8	STOP
TOP.5fa2b72c.0009e7a1	START
TOP.5fa2b72c.0009e7a1	folder_config->cwd	C:\Users\Sebastián\Desktop\Tarea 4 cripto\hashcat-6.1.1
TOP.5fa2b72c.0009e7a1	folder_config->install_dir	.
TOP.5fa2b72c.0009e7a1	folder_config->profile_dir	.
TOP.5fa2b72c.0009e7a1	folder_config->session_dir	.
TOP.5fa2b72c.0009e7a1	folder_config->shared_dir	.
TOP.5fa2b72c.0009e7a1	user_options->separator	:
TOP.5fa2b72c.0009e7a1	user_options->encoding_from	utf-8
TOP.5fa2b72c.0009e7a1	user_options->encoding_to	utf-8
TOP.5fa2b72c.0009e7a1	user_options->outfile	..\algo.txt
TOP.5fa2b72c.0009e7a1	user_options->rule_buf_l	:
TOP.5fa2b72c.0009e7a1	user_options->rule_buf_r	:
TOP.5fa2b72c.0009e7a1	user_options->session	hashcat
TOP.5fa2b72c.0009e7a1	user_options->limit	0
TOP.5fa2b72c.0009e7a1	user_options->skip	0
TOP.5fa2b72c.0009e7a1	user_options->attack_mode	0
TOP.5fa2b72c.0009e7a1	user_options->benchmark	0
TOP.5fa2b72c.0009e7a1	user_options->benchmark_all	0
TOP.5fa2b72c.0009e7a1	user_options->bitmap_max	18
TOP.5fa2b72c.0009e7a1	user_options->bitmap_min	16
TOP.5fa2b72c.0009e7a1	user_options->debug_mode	0
TOP.5fa2b72c.0009e7a1	user_options->example_hashes	0
TOP.5fa2b72c.0009e7a1	user_options->force	0
TOP.5fa2b72c.0009e7a1	user_options->hwmon_disable	0
TOP.5fa2b72c.0009e7a1	user_options->hwmon_temp_abort	90
TOP.5fa2b72c.0009e7a1	user_options->hash_mode	0
TOP.5fa2b72c.0009e7a1	user_options->hex_charset	0
TOP.5fa2b72c.0009e7a1	user_options->hex_salt	0
TOP.5fa2b72c.0009e7a1	user_options->hex_wordlist	0
